货件单号,货件名称,货件状态,创建时间,更新时间,MSKU,申报量,签收量,收件人,物流中心编码,收件邮编,收件国家,收件州/省,收件城市,收件街道地址,收件门牌号
,,,,,MSUK-D70-2-5,85,85,,,,,,,,
,,,,,MSUK-D70-5-4,120,120,,,,,,,,
,,,,,MSUK-D70-5-5,220,220,,,,,,,,
,,,,,MSUK-D70-6-3,50,50,,,,,,,,
,,,,,MSUK-D70-6-4,134,134,,,,,,,,
,,,,,MSUK-D70-6-6,45,45,,,,,,,,
,,,,,MSUK-D70-7-3,20,20,,,,,,,,
,,,,,MSUK-D71-2-2,20,20,,,,,,,,
,,,,,MSUK-D71-2-3,12,12,,,,,,,,
FBA15KKMD380,RP250707003,CLOSED,2025-07-09 18:04,2025-12-06 05:00,MS-D06-2-2-,10,10,Amazon EU SARL (UK),BHX4,CV5 9PF,Great Britain (United Kingdom; England),West Midlands,Coventry,"Plot 1, Lyons Park,",
,,,,,MS-D06-2-3-,10,10,,,,,,,,
,,,,,MS-D06-2-4-,20,20,,,,,,,,
,,,,,MS-D06-2-5-,10,10,,,,,,,,
,,,,,MS-D06-20-4,10,10,,,,,,,,
,,,,,MS-D06-20-5,10,10,,,,,,,,
,,,,,MS-D06-206-3,10,10,,,,,,,,
,,,,,MS-D06-209-3,20,20,,,,,,,,
,,,,,MS-D06-209-4,10,10,,,,,,,,
,,,,,MS-D06-234-2,4,4,,,,,,,,
,,,,,MS-D06-234-4,6,6,,,,,,,,
,,,,,MS-D06-234-5,6,6,,,,,,,,
,,,,,MS-D06-348-2,4,4,,,,,,,,
,,,,,MS-D06-348-3,4,4,,,,,,,,
,,,,,MS-D06-348-4,10,10,,,,,,,,
,,,,,MS-D06-348-5,6,6,,,,,,,,
,,,,,MS-D23-0-2,4,4,,,,,,,,
,,,,,MS-D23-1-2,4,4,,,,,,,,
,,,,,MS-D23-1-3,6,6,,,,,,,,
,,,,,MS-D23-1-5,6,6,,,,,,,,
,,,,,MS-D23-2-3,10,10,,,,,,,,
,,,,,MS-D23-8-3,10,10,,,,,,,,
,,,,,MS-D23-8-5,4,4,,,,,,,,
,,,,,MSUK-D42-2-2,8,8,,,,,,,,
,,,,,MSUK-D42-25-2,2,1,,,,,,,,
,,,,,MSUK-D42-256-3,6,6,,,,,,,,
,,,,,MSUK-D42-5-3,10,10,,,,,,,,
,,,,,MSUK-D42-5-4,10,10,,,,,,,,
,,,,,MSUK-D42-6-2,6,6,,,,,,,,
,,,,,MSUK-D70-2-5,75,75,,,,,,,,
,,,,,MSUK-D70-5-3,250,250,,,,,,,,
,,,,,MSUK-D70-5-4,200,199,,,,,,,,
,,,,,MSUK-D70-5-5,290,292,,,,,,,,
,,,,,MSUK-D70-6-4,100,100,,,,,,,,
,,,,,MSUK-D70-6-6,20,20,,,,,,,,
,,,,,MSUK-D70-7-3,20,20,,,,,,,,
,,,,,MSUK-D71-2-4,6,6,,,,,,,,
,,,,,MSUK-D72-20-3,10,10,,,,,,,,
,,,,,MSUK-D72-26-4,6,6,,,,,,,,
,,,,,MSUK-D72-26-5,6,6,,,,,,,,
,,,,,MSUK-D74-2-5,2,2,,,,,,,,
,,,,,MSUK-D74-5-4,6,6,,,,,,,,
,,,,,MSUK-D74-5-5,6,6,,,,,,,,
FBA15KJQQXJ5,RP250701004,CLOSED,2025-07-02 18:50,2025-09-13 06:48,MS-D06-2-4-,15,15,Amazon EU SARL (UK),BHX4,CV5 9PF,Great Britain (United Kingdom; England),West Midlands,Coventry,"Plot 1, Lyons Park,",
,,,,,MS-D22-2-2,13,13,,,,,,,,
,,,,,MS-D22-2-3,40,40,,,,,,,,
,,,,,MS-D22-2-5,22,22,,,,,,,,
,,,,,MS-D22-25-5,10,10,,,,,,,,
,,,,,MS-D22-506-5,4,4,,,,,,,,
,,,,,MS-D22-6-5,35,35,,,,,,,,
,,,,,MS-D23-1-5,6,6,,,,,,,,
,,,,,MS-D23-26-3,4,4,,,,,,,,
,,,,,MS-D23-8-3,8,8,,,,,,,,
,,,,,MSUK-D47-2-6,10,10,,,,,,,,
,,,,,MSUK-D47-6-2,10,10,,,,,,,,
,,,,,MSUK-D63-206-3,14,14,,,,,,,,
,,,,,MSUK-D63-209-5,17,17,,,,,,,,
,,,,,MSUK-D74-2-3,16,16,,,,,,,,
,,,,,MSUK-D74-2-4,6,6,,,,,,,,
,,,,,MSUK-D74-2-5,7,7,,,,,,,,
,,,,,MSUK-D74-2-6,5,5,,,,,,,,
,,,,,MSUK-D74-5-2,11,11,,,,,,,,
,,,,,MSUK-D74-5-3,34,34,,,,,,,,
,,,,,MSUK-D74-5-4,8,8,,,,,,,,
,,,,,MSUK-D74-5-5,8,8,,,,,,,,
,,,,,MSUK-D74-5-6,6,6,,,,,,,,
,,,,,MSUK-D74-6-3,45,45,,,,,,,,
,,,,,MSUK-D74-6-4,50,50,,,,,,,,
,,,,,MSUK-D74-6-5,29,29,,,,,,,,
,,,,,MSUK-D74-6-6,6,6,,,,,,,,
,,,,,MSUK-D75-2-2,15,15,,,,,,,,
,,,,,MSUK-D75-206-3,20,20,,,,,,,,
