"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.09.2025 22:57:47 UTC","25624010702","Erstattung","305-9876414-7678748","MSEU-D75-2-2","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Hohenhameln","Deutschland","31249","MarketplaceFacilitator","-14,36","-2,73","0","0","0","0","0","0","2,73","2,05","0","0","0","-12,31"
"30.09.2025 23:00:09 UTC","25624010702","Bestellung","303-7270008-7780308","MSEU-D75-268-3","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Mosbach","Baden-Württemberg","74821","MarketplaceFacilitator","26,46","5,03","0","0","0","0","0","0","-5,03","-4,72","-3,61","0","0","18,13"
"30.09.2025 23:05:04 UTC","25624010702","Bestellung","304-3997290-8763551","MSEU-D74-5-3","ANGOOL BH Damen Ohne Bügel V-Ausschnitt Softschalen Push Up BH Seamless High Elastizität Bustier Damen Gewellte Ränder Schlaf Bra Gepolstert, Beige","1","amazon.de","Amazon","Niklasdorf","","8712","MarketplaceFacilitator","16,13","3,23","0","0","0","0","0","0","-3,23","-2,90","-3,09","0","0","10,14"
"30.09.2025 23:12:41 UTC","25624010702","Bestellung","306-9004354-4957148","MSEU-D75-20-3","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Dillingen","","66763","MarketplaceFacilitator","19,66","3,73","0","0","0","0","0","0","-3,73","-3,51","-3,54","0","0","12,61"
"30.09.2025 23:14:45 UTC","25624010702","Bestellung","302-0468640-3577954","MS-D06-208-4","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Schwarz+grau+azurblau, L Fit 80D 80DD 80E 85D 90BC 90D","1","amazon.de","Amazon","Albstadt","","72461","MarketplaceFacilitator","21,17","4,02","0","0","0","0","0","0","-4,02","-3,78","-3,26","0","0","14,13"
"30.09.2025 23:15:27 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","302-1560167-0249164","X00278AMP9","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,55","0","0","-1,55"
"30.09.2025 23:15:49 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","303-8870992-6705953","X0019SDKOX","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,63","0","0","-1,63"
"30.09.2025 23:19:11 UTC","25624010702","Bestellung","306-7546706-5566729","MSEU-D75-2-2","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Bad Blankenburg","","07422","MarketplaceFacilitator","14,36","2,73","3,35","0,64","0","0","0","0","-3,37","-2,56","-6,02","0","0","9,13"
"30.09.2025 23:20:47 UTC","25624010702","Bestellung","305-0117355-3841135","MS-D06-2-4","ANGOOL Sport BH,Klassische Frauen Büstenhalter Ohne Bügel Ringerrücken Sports Bras Fuer Yoga Fitness Training","1","amazon.de","Amazon","Eisenhüttenstadt","","15890","MarketplaceFacilitator","11,34","2,15","0","0","0","0","0","0","-2,15","-1,08","-3,14","0","0","7,12"
"30.09.2025 23:20:55 UTC","25624010702","Bestellung","305-2405223-9937908","MS-D06-2-5","ANGOOL Sport BH,Klassische Frauen Büstenhalter Ohne Bügel Ringerrücken Sports Bras Fuer Yoga Fitness Training","1","amazon.de","Amazon","Weilheim i. OB","Bayern","82362","MarketplaceFacilitator","11,34","2,15","0","0","0","0","0","0","-2,15","-1,08","-3,54","0","0","6,72"
"30.09.2025 23:23:49 UTC","25624010702","Bestellung","305-3106147-0903565","MSEU-D70-2-4","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Peiting","Bayern","86971","MarketplaceFacilitator","12,09","2,30","0","0","0","0","0","0","-2,30","-1,15","-3,16","0","0","7,78"
"30.09.2025 23:25:19 UTC","25624010702","Bestellung","304-8516307-3359506","MS-D06-209-5-1","ANGOOL Sport BH Damen Stark Halt Push Up Ohne Bügel Gepolstert Sport Bustier Seamless Sport BH Racerback Sports Bras Fuer Yoga Fitness Joggen Trainin","1","amazon.de","Amazon","Köln","","51067","MarketplaceFacilitator","21,17","4,02","0","0","0","0","0","0","-4,02","-3,78","-3,26","0","0","14,13"
"30.09.2025 23:27:53 UTC","25624010702","Bestellung","305-6368890-3009138","MS-D06-20-4","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, L Fit 80D 80DD 80E 85D 90BC 90D, Schwarz+grau","1","amazon.de","Amazon","Rastede","","26180","MarketplaceFacilitator","16,63","3,16","0","0","0","0","-1,66","-0,32","-2,84","-2,67","-3,61","0","0","8,69"
"30.09.2025 23:27:53 UTC","25624010702","Bestellung","305-6368890-3009138","MS-D06-348-4","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Rosa blau azurblau, L Fit 80D 80DD 80E 85D 90BC 90D","1","amazon.de","Amazon","Rastede","","26180","MarketplaceFacilitator","21,17","4,02","0","0","0","0","-2,12","-0,40","-3,62","-3,40","-2,78","0","0","12,87"
"30.09.2025 23:30:06 UTC","25624010702","Erstattung","302-6813194-8940339","MSEU-D74-2-4","ANGOOL BH Damen Ohne Bügel V-Ausschnitt Softschalen Push Up BH Seamless High Elastizität Bustier Damen Gewellte Ränder Schlaf Bra Gepolstert, Schwa","1","amazon.de","Amazon","Aresing","Bayern","86561","MarketplaceFacilitator","-16,13","-3,06","-0,48","-0,09","0","0","2,09","0,39","2,76","2,07","0","0","0","-12,45"
"30.09.2025 23:32:32 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","306-4766397-7201904","X0027UA937","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,58","0","0","-1,58"
"30.09.2025 23:33:23 UTC","25624010702","Bestellung","303-7227057-2979536","MSEU-D70-5-2","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","München","","81479","MarketplaceFacilitator","12,09","2,30","0","0","0","0","0","0","-2,30","-1,15","-2,78","0","0","8,16"
"30.09.2025 23:41:18 UTC","25624010702","Bestellung","305-2932360-7281103","MSEU-D71-5-3","ANGOOL Damen BH Ohne Bügel Mittlerer Halt Sport BH Rückenverschluss Verstellbar Träger Klassische Schlaf Bra Gepolstert V-Ausschnitt Seamless, Beig","1","amazon.de","Amazon","Berlin","","13189","MarketplaceFacilitator","12,85","2,44","0","0","0","0","0","0","-2,44","-2,29","-3,16","0","0","7,40"
"30.09.2025 23:41:33 UTC","25624010702","Bestellung","303-3136098-1688333","MS-D06-209-4","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Schwarz grau weinrot, L Fit 80D 80DD 80E 85D 90BC 90D","1","amazon.de","Amazon","Ansbach","Bayern","91522","MarketplaceFacilitator","21,17","4,02","0","0","0","0","0","0","-4,02","-3,78","-3,68","0","0","13,71"
"30.09.2025 23:41:51 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","303-1236577-4455514","X0027UDI71","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,58","0","0","-1,58"
"30.09.2025 23:42:23 UTC","25624010702","Bestellung","302-4184066-0960302","MSEU-D72-26-3","ANGOOL Sport BH Damen ohne Bügel Verstellbarer Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Umwandelbar in Crossback, Schwarz+Weiß, M","1","amazon.de","Amazon","Ainring","","83404","MarketplaceFacilitator","13,05","2,48","0","0","0","0","0","0","-2,48","-2,33","-3,61","0","0","7,11"
"30.09.2025 23:42:29 UTC","25624010702","Bestellung","306-2179311-2131549","MS-D06-20-3","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, M Fit 70DD 70E 75D 80BC 85BC, Schwarz+grau","1","amazon.de","Amazon","Jülich","","52428","MarketplaceFacilitator","16,63","3,16","0","0","0","0","-1,66","-0,32","-2,84","-2,67","-3,14","0","0","9,16"
"30.09.2025 23:42:29 UTC","25624010702","Bestellung","306-2179311-2131549","MS-D06-20-4","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, L Fit 80D 80DD 80E 85D 90BC 90D, Schwarz+grau","1","amazon.de","Amazon","Jülich","","52428","MarketplaceFacilitator","16,63","3,16","0","0","0","0","-1,66","-0,32","-2,84","-2,67","-3,61","0","0","8,69"
"30.09.2025 23:44:14 UTC","25624010702","Bestellung","304-3801007-8450702","MSEU-D71-20-3","ANGOOL Damen BH Ohne Bügel Mittlerer Halt Sport BH Rückenverschluss Verstellbar Träger Klassische Schlaf Bra Gepolstert V-Ausschnitt Seamless, Schw","1","amazon.de","Amazon","Greinbach","","8230","MarketplaceFacilitator","18,56","3,71","0","0","0","0","0","0","-3,71","-3,31","-3,16","0","0","12,09"
"01.10.2025 00:00:53 UTC","25624010702","Bestellung","304-2673383-3843500","MSEU-D70-6-3","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Waldfischbach-burgalben","","67714","MarketplaceFacilitator","12,09","2,30","0","0","0","0","0","0","-2,30","-1,15","-3,16","0","0","7,78"
"01.10.2025 00:03:20 UTC","25624010702","Bestellung","028-9778184-8700315","MS-D06-206-3","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Schwarz + Grau + Weiß, M Fit 70DD 70E 75D 80BC 85BC","1","amazon.de","Amazon","Hagen Am Teutoburger Wald","","49170","MarketplaceFacilitator","21,17","4,02","0","0","0","0","0","0","-4,02","-3,78","-3,61","0","0","13,78"
"01.10.2025 00:05:40 UTC","25624010702","Bestellung","028-9760029-6261907","MSEU1-D25-268-4","ANGOOL Sport BH Damen Einstellbarer Schultergurt Sport Bustier Damen Gepolstert Starker Halt Nahtlose Joggen Yoga Fitness Bra, 3er Pack, Schwarz + wei","1","amazon.de","Amazon","Havelsee","","14798","MarketplaceFacilitator","18,56","3,53","0","0","0","0","0","0","-3,53","-3,31","-3,68","0","0","11,57"
