"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jul 1, 2025 12:58:35 a.m. PDT","23871052381","Order","702-9727347-6861046","MSCA-D70-5-6","ANGOOL Wireless Strapless Bra for Women Seamless Push Up Non-Slip Full Support Non Removable Padded Bandeau Bra, Beige, XXL","1","amazon.ca","Amazon","Windsor","Ontario","N8R 1Y","Combined TCS+MTC","29.99","3.90","0","0","0","0","0","0","0","0","-3.90","-5.10","-6.73","-0.10","0","18.06"
"Jul 1, 2025 1:12:20 a.m. PDT","23871052381","Order","701-6019493-7907406","MSCA-D70-5-3","ANGOOL Wireless Strapless Bra for Women Seamless Push Up Non-Slip Full Support Non Removable Padded Bandeau Bra, Beige, M","1","amazon.ca","Amazon","Beaumont","Alberta","T4X1L","Combined TCS+MTC","29.99","1.50","2.33","0","0","0","0","0","-2.33","0","-1.50","-5.10","-6.73","-0.10","0","18.06"
"Jul 1, 2025 1:18:05 a.m. PDT","23871052381","Order","701-0892443-6945055","MSCA-D70-5-3","ANGOOL Wireless Strapless Bra for Women Seamless Push Up Non-Slip Full Support Non Removable Padded Bandeau Bra, Beige, M","1","amazon.ca","Amazon","Mississauga","Ontario","L5M 7X","Combined TCS+MTC","29.99","3.90","0","0","0","0","0","0","0","0","-3.90","-5.10","-6.73","-0.10","0","18.06"
"Jul 1, 2025 1:29:17 a.m. PDT","23871052381","Order","701-7937162-9267455","MSCA-D74-2-4","ANGOOL V Neck Seamless Bralette for Women Full Coverage Wireless Padded Bra No Underwire Non Removable Pads Push Up Bras, Black, L","1","amazon.ca","Amazon","Ridgeway","Ontario","L0S 1N","Combined TCS+MTC","22.87","2.97","0","0","0","0","0","0","0","0","-2.97","-3.89","-6.12","-0.08","0","12.78"
"Jul 1, 2025 1:29:17 a.m. PDT","23871052381","Order","701-7937162-9267455","MSCA-D74-5-4","ANGOOL V Neck Seamless Bralette for Women Full Coverage Wireless Padded Bra No Underwire Non Removable Pads Push Up Bras, Beige, L","1","amazon.ca","Amazon","Ridgeway","Ontario","L0S 1N","Combined TCS+MTC","22.87","2.97","0","0","0","0","0","0","0","0","-2.97","-3.89","-6.12","-0.08","0","12.78"
"Jul 1, 2025 1:29:17 a.m. PDT","23871052381","Order","701-7937162-9267455","MSCA-D74-6-4","ANGOOL V Neck Seamless Bralette for Women Full Coverage Wireless Padded Bra No Underwire Non Removable Pads Push Up Bras, White, L","1","amazon.ca","Amazon","Ridgeway","Ontario","L0S 1N","Combined TCS+MTC","22.87","2.97","0","0","0","0","0","0","0","0","-2.97","-3.89","-6.12","-0.08","0","12.78"
"Jul 1, 2025 1:29:17 a.m. PDT","23871052381","Order","701-7937162-9267455","MSCA-D74-7-4","ANGOOL V Neck Seamless Bralette for Women Full Coverage Wireless Padded Bra No Underwire Non Removable Pads Push Up Bras, Brown, L","1","amazon.ca","Amazon","Ridgeway","Ontario","L0S 1N","Combined TCS+MTC","22.87","2.97","0","0","0","0","0","0","0","0","-2.97","-3.89","-6.12","-0.08","0","12.78"
"Jul 1, 2025 1:50:11 a.m. PDT","23871052381","Order","702-7927447-3917851","MSCA-D74-5-3","ANGOOL V Neck Seamless Bralette for Women Full Coverage Wireless Padded Bra No Underwire Non Removable Pads Push Up Bras, Beige, M","1","amazon.ca","Amazon","Uxbridge","Ontario","L9P 1R","Combined TCS+MTC","22.87","2.97","0","0","0","0","0","0","0","0","-2.97","-3.89","-6.12","-0.08","0","12.78"
"Jul 1, 2025 2:52:46 a.m. PDT","23871052381","Service Fee","","","Subscription","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-12.47","-12.47"
"Jul 1, 2025 2:56:10 a.m. PDT","23871052381","Order","702-0105032-6447437","MSCA-D70-7-4","ANGOOL Wireless Strapless Bra for Women Seamless Push Up Non-Slip Full Support Non Removable Padded Bandeau Bra, Brown, L","1","amazon.ca","Amazon","Milton","Ontario","L9T 6W","Combined TCS+MTC","29.99","3.90","0","0","0","0","0","0","0","0","-3.90","-5.10","-7.20","-0.10","0","17.59"
