"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.06.2025 22:08:05 UTC","25003038762","Bestellung","304-1778986-6997127","MSEU1-D25-268-5","ANGOOL Sport BH Damen Einstellbarer Schultergurt Sport Bustier Damen Gepolstert Starker Halt Nahtlose Joggen Yoga Fitness Bra, 3er Pack, Schwarz + wei","1","amazon.de","Amazon","Eisenheim","","97247","MarketplaceFacilitator","24,36","4,63","0","0","0","0","0","0","-4,63","-4,35","-3,19","0","0","16,82"
"30.06.2025 22:08:07 UTC","25003038762","Bestellung","303-3023620-8351549","MSEU-D70-2-6","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Erlangen","Bayern","91056","MarketplaceFacilitator","13,61","2,58","0","0","0","0","-0,74","-0,14","-2,44","-2,30","-3,16","0","0","7,41"
"30.06.2025 22:08:07 UTC","25003038762","Bestellung","303-3023620-8351549","MSEU-D47-2-5","ANGOOL Damen Trägerloser BH Push Up ohne Bügel Bandeau Top Damen Gepolsterter Seamless Ribbed Rutschfestes Silikon mit Transparenten Trägern, Schwa","1","amazon.de","Amazon","Erlangen","Bayern","91056","MarketplaceFacilitator","15,96","3,03","0","0","0","0","-3,13","-0,60","-2,43","-2,29","-3,16","0","0","7,38"
"30.06.2025 22:08:07 UTC","25003038762","Bestellung","303-3023620-8351549","MSEU-D70-2-5","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Erlangen","Bayern","91056","MarketplaceFacilitator","13,61","2,58","0","0","0","0","-0,74","-0,14","-2,44","-2,30","-3,16","0","0","7,41"
"30.06.2025 22:08:07 UTC","25003038762","Bestellung","303-3023620-8351549","MSEU-D47-2-6","ANGOOL Damen Trägerloser BH Push Up ohne Bügel Bandeau Top Damen Gepolsterter Seamless Ribbed Rutschfestes Silikon mit Transparenten Trägern, Schwa","1","amazon.de","Amazon","Erlangen","Bayern","91056","MarketplaceFacilitator","15,96","3,03","0","0","0","0","-3,13","-0,60","-2,43","-2,29","-2,78","0","0","7,76"
"30.06.2025 22:08:45 UTC","25003038762","Bestellung","304-1573498-7627546","MS-D06-209-5-1","ANGOOL Sport BH Damen Stark Halt Push Up Ohne Bügel Gepolstert Sport Bustier Seamless Sport BH Racerback Sports Bras Fuer Yoga Fitness Joggen Trainin","1","amazon.de","Amazon","Linz","","4030","MarketplaceFacilitator","23,52","4,70","0","0","0","0","0","0","-4,70","-4,20","-3,68","0","0","15,64"
"30.06.2025 22:09:39 UTC","25003038762","Bestellung","028-8397040-4674715","MSEU-D70-6-4","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Rosbach","","61191","MarketplaceFacilitator","13,61","2,58","0","0","0","0","0","0","-2,58","-2,43","-3,16","0","0","8,02"
"30.06.2025 22:09:58 UTC","25003038762","Bestellung","305-1657136-1395523","MS-D06-206-4","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Schwarz + Grau + Weiß, L Fit 80D 80DD 80E 85D 90BC 90D","1","amazon.de","Amazon","Geldern","Nordrhein-Westfalen","47608","MarketplaceFacilitator","23,52","4,47","0","0","0","0","0","0","-4,47","-4,20","-3,68","0","0","15,64"
"30.06.2025 22:12:25 UTC","25003038762","Gebühren für Kundenrücksendungen mit Versand durch Amazon","302-7266666-3374708","X001C7JAOP","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,66","0","0","-1,66"
"30.06.2025 22:13:20 UTC","25003038762","Bestellung","305-2583956-1451539","MSEU-D75-206-4","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Verl","NRW","33415","MarketplaceFacilitator","29,40","5,59","0","0","0","0","-1,47","-0,28","-5,31","-4,99","-3,54","0","0","19,40"
